References,Value,Footprint,Quantity,Digi-Key PN,Manufacturer,MPN
BT1,Keystone 1058 (CR2032),BatteryHolder_Keystone_1058_1x2032,1,36-1058-ND,Keystone,1058
C4 C7 C8 C12 C14,100nF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,5,1276-1099-1-ND,Samsung,CL21B104KACNNNC
C13,10nF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,1,311-1136-1-ND,Yageo,CC0805KRX7R9BB103
C5,10µF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,1,1276-1096-1-ND,Samsung,CL21A106KOQNNNE
C3,1nF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,1,1276-1020-1-ND,Samsung,CL21B102KBANNNC
C6,1µF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,1,1276-6469-1-ND,Samsung,CL21B105KAFNNNG
C1 C2 C15,4.7µF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,3,1276-1244-1-ND,Samsung,CL21A475KAQNNNE
C10 C11,47pF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,2,311-1107-1-ND,Yageo,CC0805JRNPO9BN470
C9,DNP/100nF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,1,1276-1099-1-ND,Samsung,CL21B104KACNNNC
D4,1N5819HW,D_SOD-123,1,1N5819HW-FDICT-ND,Diodes Inc.,1N5819HW-7-F
D1,Ambient Light Sensor,D_1206_3216Metric_Castellated,1,VEMD1060X01CT-ND,Vishay,VEMD1060X01
D3,GPIO LED,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,1,732-4986-1-ND,Würth,150080VS75000
D2,PWR LED,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,1,732-4985-1-ND,Würth,150080SS75000
F1,500mA,Fuse_1206_3216Metric_Pad1.42x1.75mm_HandSolder,1,507-1802-1-ND,Bel Fuse,0ZCJ0050FF2G
FB1,220ΩZ,L_0805_2012Metric_Pad1.15x1.40mm_HandSolder,1,490-16661-1-ND,Murata,BLM21PG221SZ1D
J2,Ext,PinHeader_2x05_P2.54mm_Vertical,1,S2011EC-40-ND,Sullins,PRPC040DAAN-RC
J7,GCT_USB4108-GF-A,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,2073-USB4105-GF-ACT-ND,GCT,USB4105-GF-A
J1,Header,PinSocket_1x08_P2.54mm_Vertical,1,S7006-ND,Sullins,PPTC081LFBN-RC
J3,JTAG,JTAG_2x05_P1.27mm_Vertical_SMD,1,609-3695-6-ND,Amphenol,20021121-00010C4LF
Q1,MBT3904DW1T1G,SOT-363,1,MBT3904DW1T1GOSCT-ND,ON Semiconductor,MBT3904DW1T1G
R2 R3 R9 R10 R15 R16,10kΩ,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,6,311-10.0KCRCT-ND,Yageo,RC0805FR-0710KL
R4 R7,1kΩ,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,2,311-1.00KCRCT-ND,Yageo,RC0805FR-071KL
R13 R14,27Ω,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,2,311-27.0CRCT-ND,Yageo,RC0805FR-0727RL
R1 R5 R6 R8,4.7kΩ,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,4,311-4.70KCRCT-ND,Yageo,RC0805FR-074K7L
R11 R12,5.1kΩ,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,2,311-5.1KARCT-ND,Yageo,RC0805JR-075K1L
SW2,Boot,SW_PTS526_SM08_SMTR2_LFS,1,CKN12221-1-ND,C&K,PTS526 SK15 SMTR2 LFS
SW1,Reset,SW_PTS526_SM08_SMTR2_LFS,1,CKN12221-1-ND,C&K,PTS526 SK15 SMTR2 LFS
U1,AP2114H-3_3TRG1,SOT-223,1,AP2114H-3.3TRG1DICT-ND,Diodes Inc.,AP2114H-3.3TRG1
U4,DS1338Z-33+,SOIC-8_3.9x4.9mm_P1.27mm,1,DS1338Z-33+T&RCT-ND,Maxim,DS1338Z-33+T&R
U7,DS18B20U,MSOP-8_3x3mm_P0.65mm,1,DS18B20U+T&RCT-ND,Maxim,DS18B20U+T&R
U3,ESP32-WROOM-32,ESP32-WROOM-32,1,1965-ESP32-WROOM-32E(8MBFLASH)CT-ND,Espressif,ESP32-WROOM-32E (8MB)
U5,FT231XS,SSOP-20_3.9x8.7mm_P0.635mm,1,768-1129-1-ND,FTDI,FT231XS-R
U6,USBLC6-4SC6,SOT-23-6,1,497-4492-1-ND,ST Microelectronic,USBLC6-4SC6
U2,‎SN74HCT245PWR‎,TSSOP-20_4.4x6.5mm_P0.65mm,1,296-8404-1-ND,Texas Instruments,SN74HCT245PWR
Y1,"32.768Hz, 12.5pF, 45kΩ",Crystal_SMD_MicroCrystal_MS1V-T1K,1,XC1911CT-ND,ECS Inc.,ECS-.327-12.5-13FLX-C
