"Hersteller-Teilenummer","Hersteller","Digi-Key Teilenummer","Kundenreferenz","Referenzdesignator","Verpackung","Status der Komponente","Menge","Stückpreis","Gesamtpreis","Verfügbare Menge","Herst. Std.-Lieferzeit","Beschreibung","RoHS Status","Bleifreier Status","REACH Status"
"1058","Keystone Electronics","36-1058-ND","","BT1","Tablett","Aktiv","1","0,98000","","377","6 Wochen","BATTERY HOLDER COIN 20MM SMD","RoHS3-konform","Bleifrei","Von REACH nicht betroffen"
"CL21A475KAQNNNG","Samsung Electro-Mechanics","1276-6462-1-ND","","C1, C2, C15","Gurtabschnitt (CT)","Aktiv","3","0,11000","0,33 €","139920","22 Wochen","CAP CER 4.7UF 25V X5R 0805","RoHS3-konform","Bleifrei","Von REACH nicht betroffen"
"CC0805KRX7R9BB103","Yageo","311-1136-1-ND","","C3, C5, C13","Gurtabschnitt (CT)","Aktiv","3","0,08000","0,24 €","6134679","33 Wochen","CAP CER 10000PF 50V X7R 0805","RoHS3-konform","Bleifrei","Von REACH nicht betroffen"
"CL21B104KACNNNC","Samsung Electro-Mechanics","1276-1099-1-ND","","C4, C7, C8, C12, C14","Gurtabschnitt (CT)","Aktiv","5","0,08000","0,40 €","1165566","22 Wochen","CAP CER 0.1UF 25V X7R 0805","RoHS3-konform","Bleifrei","Von REACH nicht betroffen"
"CL21B105KAFNNNE","Samsung Electro-Mechanics","1276-1066-1-ND","","C6","Gurtabschnitt (CT)","Aktiv","1","0,08000","0,08 €","30189","22 Wochen","CAP CER 1UF 25V X7R 0805","RoHS3-konform","Bleifrei","Von REACH nicht betroffen"
"CC0805JRNPO9BN470","Yageo","311-1107-1-ND","","C10, C11","Gurtabschnitt (CT)","Aktiv","2","0,09000","0,18 €","157861","33 Wochen","CAP CER 47PF 50V C0G/NPO 0805","RoHS3-konform","Bleifrei","Von REACH nicht betroffen"
"VEMD1060X01","Vishay Semiconductor Opto Division","VEMD1060X01CT-ND","","D1","Gurtabschnitt (CT)","Aktiv","1","0,81000","0,81 €","53360","6 Wochen","PHOTODIODE 350 TO 1070 NM","RoHS3-konform","Bleifrei","Nicht verfügbar"
"150080SS75000","Würth Elektronik","732-4985-1-ND","","D2","Gurtabschnitt (CT)","Aktiv","1","0,15000","0,15 €","4942","10 Wochen","LED RED CLEAR 0805 SMD","RoHS3-konform","Bleifrei","Von REACH nicht betroffen"
"150080VS75000","Würth Elektronik","732-4986-1-ND","","D3","Gurtabschnitt (CT)","Aktiv","1","0,15000","0,15 €","29609","10 Wochen","LED GREEN CLEAR 0805 SMD","RoHS3-konform","Bleifrei","Von REACH nicht betroffen"
"1N5819HW-7-F","Diodes Incorporated","1N5819HW-FDICT-ND","","D4","Gurtabschnitt (CT)","Aktiv","1","0,34000","0,34 €","503872","21 Wochen","DIODE SCHOTTKY 40V 1A SOD123","RoHS3-konform","Bleifrei","Von REACH nicht betroffen"
"0ZCJ0050FF2G","Bel Fuse Inc.","507-1802-1-ND","","F1","Gurtabschnitt (CT)","Aktiv","1","0,10000","0,10 €","274639","14 Wochen","PTC RESET FUSE 8V 500MA 1206","RoHS3-konform","Bleifrei","Von REACH nicht betroffen"
"BLM21PG221SZ1D","Murata Electronics","490-16661-1-ND","","FB1","Gurtabschnitt (CT)","Aktiv","1","0,10000","0,10 €","3549","8 Wochen","FERRITE BEAD 220 OHM 0805 1LN","RoHS3-konform","Bleifrei","Nicht verfügbar"
