References,Value,Quantity Per PCB,Part,Digi-Key PN,MPN,Mfg
C9,100nF,1,C_Small,1276-1099-1-ND,CL21B104KACNNNC,Samsung
C4,10nF,1,C_Small,311-1136-1-ND,CC0805KRX7R9BB103,Yageo
C6,10µF,1,CP_Small,493-2100-1-ND,UWX1C100MCL1GB,Nichicon
C5 C10,1µF,2,C_Small,1276-6469-1-ND,CL21B105KAFNNNG,Samsung
C1 C2,4.7µF,2,C_Small,587-5485-1-ND,UMK212BBJ475KG-T,Taiyo Yuden
C7 C8,47µF,2,CP_Small,493-6385-1-ND,UCD1E470MCL1GS,Nichicon
C3,82pF,1,C_Small,311-1110-1-ND,CC0805JRNPO9BN820,Yageo
D1,1N5819HW-7-F,1,1N5819,1N5819HW-FDICT-ND,1N5819HW-7-F,Diodes Inc.
D2,3.3V,1,D_Zener_Small,MMSZ4684T1GOSCT-ND,MMSZ4684T1G,ON Semi
J1,Connection Header,1,Conn_01x08_Male,S2112EC-40-ND,PREC040DBAN-M71RC,Sullins
L1,10µH,1,L_Small,587-6332-1-ND,LBC3225T100MR,Taiyo Yuden
R4 R5 R6 R7 R9,10kΩ,5,R_Small,311-10.0KCRCT-ND,RC0805FR-0710KL,Yageo
R10 R11,12Ω 0.25W,2,R_Small,311-10.0FRCT-ND,RC1206FR-0710RL,Yageo
R2,13kΩ,1,R_Small,311-13.0KCRCT-ND,RC0805FR-0713KL,Yageo
R8,2.2kΩ,1,R_Small,311-2.20KCRCT-ND,RC0805FR-072K2L,Yageo
R12 R13,220Ω,2,R_Small,311-220CRCT-ND,RC0805FR-07220RL,Yageo
R3,240kΩ,1,R_Small,311-240KCRCT-ND,RC0805FR-07240KL,Yageo
R1 R14,47kΩ,2,R_Small,311-47.0KCRCT-ND,RC0805FR-0747KL,Yageo
U4,HV5812WG,1,HV5812WG,HV5812WG-GCT-ND,HV5812WG-G,Microchip
U1,IVL2-5_7,1,IVL2-5_7,,IVL2-7/5,
U3,LM2733YMF,1,LM2733YMF,LM2733YMF/NOPBCT-ND,LM2733YMF/NOPB,Texas Instr
U2,LM4871MX_NOPB,1,LM4871MX_NOPB,LM4871MX/NOPBCT-ND,LM4871MX/NOPB,Texas Instr
