"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C1,C3";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";2;"4.7µF";;;
2;"L1,L2";"L_1210_3225Metric_Pad1.42x2.65mm_HandSolder";2;"10µH";;;
3;"R2";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"13kΩ";;;
4;"R3";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"240kΩ";;;
5;"R1,R14,R7,R8";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";4;"10kΩ";;;
6;"C2";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"82pF";;;
7;"U3";"SOT-23-5_HandSoldering";1;"LM2733YMF";;;
8;"D1";"D_SOD-123";1;"1N5819HW-7-F";;;
9;"J1";"PinHeader_1x05_P2.54mm_Vertical";1;"Header";;;
10;"C5";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"100nF";;;
11;"D2";"LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"LED";;;
12;"U2";"SOIC-14_3.9x8.7mm_P1.27mm";1;"ATtiny414-SS";;;
13;"R6,R5";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";2;"0Ω";;;
14;"U4";"SOIC-28W_7.5x17.9mm_P1.27mm";1;"HV5812WG";;;
15;"R4";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"660Ω";;;
16;"J3";"JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal";1;"I2C";;;
17;"U5";"SOIC-8_3.9x4.9mm_P1.27mm";1;"ZXBM5210-S";;;
18;"C6";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"1µF";;;
19;"C4";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"10µF";;;
20;"U1";"IVL2-7_5";1;"IVL2-5_7";;;
